Station,Latitude,Longitude,Oxygen (umol/kg),Temperature,Salinity,fluorescence,O2 (% saturated),Depth (m)
1,36.78768,-121.91968,54.176,7.346,34.1072,8.15E-02,18.48555,303
1,36.78766,-121.91971,54.213,7.3556,34.1065,8.47E-02,18.50224,302
1,36.78783,-121.91948,54.391,7.3479,34.1062,8.95E-02,18.55952,301
1,36.78788,-121.91944,54.294,7.3466,34.1064,7.87E-02,18.52593,300
1,36.78787,-121.91942,54.372,7.3496,34.1061,9.86E-02,18.55362,299
1,36.78788,-121.91942,54.408,7.3496,34.106,8.69E-02,18.56611,298
1,36.78788,-121.91942,54.34,7.3505,34.1061,8.22E-02,18.54336,297
1,36.78788,-121.91942,54.562,7.3528,34.1058,8.84E-02,18.61987,296
1,36.78788,-121.9194,54.582,7.3597,34.1054,8.57E-02,18.62966,295
1,36.78788,-121.9194,54.691,7.3709,34.1048,8.64E-02,18.67129,294
1,36.78788,-121.9194,54.757,7.3755,34.1044,8.14E-02,18.69592,293
1,36.78789,-121.91939,55.018,7.3776,34.1045,8.20E-02,18.78587,292
1,36.7879,-121.91938,55.035,7.3779,34.1045,8.21E-02,18.79197,291
1,36.7879,-121.91938,55.1,7.3802,34.1042,7.65E-02,18.81492,290
1,36.7879,-121.91938,55.066,7.3871,34.1041,7.96E-02,18.80638,289
1,36.7879,-121.91938,55.256,7.3809,34.1045,7.80E-02,18.86843,288
1,36.7879,-121.91937,55.222,7.3908,34.1038,8.82E-02,18.86104,287
1,36.7879,-121.91938,55.441,7.3975,34.1031,8.77E-02,18.93874,286
1,36.78791,-121.91938,55.433,7.4046,34.1024,9.68E-02,18.93874,285
1,36.78791,-121.91936,55.669,7.4031,34.1026,8.43E-02,19.01905,284
1,36.78792,-121.91936,55.845,7.4049,34.1022,8.21E-02,19.07985,283
1,36.78792,-121.91936,55.814,7.4065,34.1011,7.89E-02,19.06958,282
1,36.78796,-121.9194,56.356,7.4073,34.1006,9.48E-02,19.25513,281
1,36.78796,-121.9194,56.438,7.4069,34.1003,8.07E-02,19.28297,280
1,36.78796,-121.9194,56.424,7.407,34.1004,8.53E-02,19.27833,279
1,36.78796,-121.9194,56.595,7.4074,34.1004,7.86E-02,19.33691,278
1,36.78796,-121.9194,56.569,7.4071,34.1003,7.83E-02,19.32791,277
1,36.78796,-121.9194,56.55,7.4079,34.1003,9.03E-02,19.32153,276
1,36.78796,-121.9194,56.607,7.408,34.1,8.44E-02,19.34122,275
1,36.78796,-121.9194,56.561,7.4079,34.1001,8.54E-02,19.3253,274
1,36.78796,-121.9194,56.777,7.4072,34.1001,9.02E-02,19.39899,273
1,36.78796,-121.91938,56.722,7.4089,34.0998,8.35E-02,19.38073,272
1,36.78796,-121.91938,56.925,7.4237,34.0974,8.60E-02,19.45615,271
1,36.78796,-121.91938,57.998,7.4224,34.0979,8.11E-02,19.82266,270
1,36.78796,-121.91938,58.009,7.4703,34.0951,7.72E-02,19.8473,269
1,36.78796,-121.91938,58.596,7.4858,34.0926,8.60E-02,20.05488,268
1,36.78797,-121.91937,59.647,7.486,34.0935,8.76E-02,20.41479,267
1,36.78797,-121.91936,59.486,7.5161,34.0924,8.49E-02,20.37351,266
1,36.78798,-121.91936,59.864,7.5407,34.0919,8.34E-02,20.51412,265
1,36.78798,-121.91936,60.967,7.5714,34.0885,8.11E-02,20.90621,264
1,36.78798,-121.91936,62.076,7.5739,34.0888,8.66E-02,21.28769,263
1,36.78799,-121.91936,61.905,7.5743,34.0894,8.61E-02,21.22936,262
1,36.788,-121.91936,61.771,7.5837,34.0887,8.82E-02,21.1875,261
