Station,Lat (deg N),Lon (deg E),O2 (umol/kg),temp (deg C),sal_psu,O2 (%sat),fluoro,oxy,depth (m)
cast 1,36.78597,-121.91785,222.65,12.9,33.32,85.15,0.0965,261.47,-0.11
cast 1,36.78597,-121.91785,233.92,12.95,33.34,89.55,0.0968,261.19,0.32
cast 1,36.78597,-121.91785,239.7,12.91,33.19,91.55,0.0979,261.67,1.53
cast 1,36.78597,-121.91785,238.06,12.69,33.26,90.6,0.0996,262.71,2.52
cast 1,36.78597,-121.91785,244.14,12.7,33.27,92.94,0.1003,262.66,3.53
cast 1,36.78597,-121.91785,250.98,12.65,33.25,95.43,0.1019,262.95,4.56
cast 1,36.78597,-121.91785,245.43,12.62,33.21,93.23,0.1028,263.23,5.54
cast 1,36.78597,-121.91785,246.64,12.57,33.29,93.65,0.1033,263.34,6.48
cast 1,36.78597,-121.91785,247.8,12.48,33.24,93.88,0.1044,263.93,7.45
cast 1,36.78597,-121.91785,246.11,12.43,33.27,93.16,0.1045,264.15,8.58
cast 1,36.78597,-121.91785,239.43,12.39,33.3,90.57,0.1047,264.32,9.55
cast 1,36.78597,-121.91785,232.06,12.22,33.25,87.45,0.1041,265.31,10.47
cast 1,36.78597,-121.91785,231.14,12.02,33.3,86.78,0.1046,266.36,11.51
cast 1,36.78597,-121.91785,233.57,11.87,33.31,87.44,0.1055,267.14,12.53
cast 1,36.78597,-121.91785,236.73,12.01,33.33,88.89,0.1065,266.36,13.42
cast 1,36.78597,-121.91785,234.08,11.79,33.34,87.5,0.1075,267.53,14.33
cast 1,36.78597,-121.91785,230.4,11.68,33.38,85.94,0.1084,268.1,15.63
cast 1,36.78597,-121.91785,236.84,11.75,33.36,88.47,0.1081,267.71,16.42
cast 1,36.78597,-121.91785,230.04,11.67,33.38,85.81,0.1096,268.11,17.52
cast 1,36.78597,-121.91785,224.88,11.59,33.39,83.75,0.1097,268.53,18.48
cast 1,36.78597,-121.91785,225.81,11.57,33.4,84.06,0.1109,268.66,19.51
cast 1,36.78597,-121.91785,219.89,11.48,33.41,81.72,0.1109,269.13,20.46
cast 1,36.78597,-121.91785,215.66,11.44,33.42,80.08,0.1107,269.35,21.46
cast 1,36.78597,-121.91785,212.28,11.4,33.42,78.75,0.1108,269.59,22.47
cast 1,36.78597,-121.91785,217.8,11.46,33.41,80.89,0.1092,269.26,23.69
cast 1,36.78597,-121.91785,210.93,11.38,33.42,78.23,0.1106,269.67,24.5
cast 1,36.78597,-121.91785,208.53,11.35,33.43,77.28,0.1101,269.84,25.35
cast 1,36.78597,-121.91785,211.89,11.38,33.42,78.57,0.1098,269.72,26.58
cast 1,36.78597,-121.91785,209.41,11.33,33.43,77.58,0.1101,269.93,27.54
cast 1,36.78597,-121.91785,204.89,11.3,33.44,75.86,0.1099,270.11,28.62
cast 1,36.78597,-121.91785,203,11.27,33.44,75.11,0.11,270.28,29.34
cast 1,36.78597,-121.91785,200.39,11.22,33.44,74.07,0.1106,270.56,30.68
cast 1,36.78597,-121.91785,195.83,11.12,33.47,72.25,0.1109,271.06,31.36
cast 1,36.78597,-121.91785,191.42,11.1,33.47,70.59,0.1121,271.18,32.57
cast 1,36.78597,-121.91785,186.28,10.99,33.5,68.54,0.1095,271.76,33.52
cast 1,36.78597,-121.91785,184.8,10.93,33.51,67.91,0.1077,272.11,34.51
cast 1,36.78597,-121.91785,182.68,10.89,33.52,67.09,0.1085,272.3,35.48
cast 1,36.78597,-121.91785,179.59,10.85,33.52,65.9,0.1081,272.52,36.46
cast 1,36.78597,-121.91785,179.03,10.79,33.54,65.61,0.107,272.87,37.58
cast 1,36.78597,-121.91785,174.94,10.75,33.54,64.07,0.1075,273.07,38.46
cast 1,36.78597,-121.91785,175.07,10.75,33.54,64.11,0.107,273.1,39.54
cast 1,36.78597,-121.91785,175.82,10.71,33.55,64.33,0.1049,273.3,40.61
cast 1,36.78597,-121.91785,173.78,10.71,33.55,63.59,0.1063,273.28,41.62
cast 1,36.78597,-121.91785,170.94,10.65,33.57,62.47,0.105,273.62,42.69
cast 1,36.78597,-121.91785,167.83,10.61,33.58,61.29,0.1047,273.84,43.42
cast 1,36.78597,-121.91785,166.75,10.57,33.58,60.85,0.1043,274.05,44.43
cast 1,36.78597,-121.91785,166.15,10.55,33.59,60.6,0.1036,274.16,45.38
cast 1,36.78597,-121.91785,165.45,10.56,33.59,60.36,0.1043,274.11,46.68
cast 1,36.78597,-121.91785,164.71,10.53,33.59,60.05,0.1029,274.28,47.3
cast 1,36.78597,-121.91785,163.87,10.53,33.6,59.75,0.1031,274.28,48.62
cast 1,36.78597,-121.91785,161.74,10.48,33.61,58.92,0.1022,274.51,49.65
cast 1,36.78597,-121.91785,160.86,10.47,33.61,58.58,0.1018,274.6,50.57
